Member_number,Date,itemDescription,Price
4090,26-02-2015,curd,1.24
3060,05-07-2015,canned beer,2.50
3768,07-10-2015,whole milk,1.20
1232,21-01-2015,rolls/buns,1.00
1360,23-10-2015,pork,1.35
1107,01-10-2015,citrus fruit,1.70
2865,04-11-2015,pot plants,5.00
2958,14-06-2015,rolls/buns,1.00
2448,12-07-2015,butter,1.88
1222,24-09-2015,condensed milk,3.61
2943,20-06-2015,sausage,2.75
2270,11-08-2015,whole milk,1.20
3812,21-07-2015,sausage,2.75
1482,22-11-2015,beverages,3.40
4720,22-02-2015,beverages,3.40
1344,04-09-2015,bottled water,3.73
2397,04-10-2015,newspapers,4.71
4182,12-05-2015,cleaner,1.48
4487,10-07-2015,sausage,2.75
3467,24-12-2015,newspapers,4.71
2443,15-11-2015,sausage,2.75
2749,27-01-2015,misc. beverages,3.47
4389,13-04-2015,white wine,3.33
1674,04-12-2015,sausage,2.75
4262,16-10-2015,meat,5.16
2082,07-04-2015,frankfurter,2.00
4494,06-01-2015,ice cream,4.55
2460,28-09-2015,canned beer,2.50
4509,29-11-2015,tropical fruit,1.50
2267,03-07-2015,meat,5.16
4891,05-09-2015,whole milk,1.20
3962,20-09-2015,sausage,2.75
4964,18-07-2015,frankfurter,2.00
2914,30-11-2015,meat,5.16
2808,05-05-2015,root vegetables,2.20
1085,15-08-2015,root vegetables,2.20
3808,18-08-2015,whole milk,1.20
4149,07-01-2015,citrus fruit,1.70
2331,05-06-2015,citrus fruit,1.70
4475,03-04-2015,other vegetables,2.50
2761,25-04-2015,citrus fruit,1.70
2620,14-12-2015,sausage,2.75
3206,13-10-2015,frankfurter,2.00
1226,13-04-2015,hard cheese,3.71
1395,07-03-2015,cream cheese,1.70 
2465,07-06-2015,turkey,3.42
3572,09-07-2015,pork,1.35
4387,08-05-2015,whole milk,1.20
1555,27-03-2015,rolls/buns,1.00
1181,16-11-2015,sausage,2.75
2814,11-05-2015,ice cream,4.55
2794,16-09-2015,liquor,1.80
2912,28-01-2015,pip fruit,1.80
4667,12-01-2015,root vegetables,2.20
2235,25-10-2015,soda,1.99
2353,02-05-2015,soda,1.99
3449,08-03-2015,sausage,2.75
1058,10-11-2015,root vegetables,2.20
1027,17-05-2015,pork,1.35
3302,22-05-2015,pork,1.35
2229,30-05-2015,chocolate,1.80
2188,15-08-2015,fruit/vegetable juice,2.00
1547,18-04-2015,pickled vegetables,1.99
1649,30-06-2015,bottled water,3.73
3254,10-09-2015,frankfurter,2.00
2818,07-11-2015,tropical fruit,1.50
2703,08-05-2015,canned beer,2.50
3332,31-01-2015,root vegetables,2.20
2473,01-07-2015,meat,5.16
2810,30-12-2015,frankfurter,2.00
1033,22-04-2015,tropical fruit,1.50
4222,27-05-2015,tropical fruit,1.50
3679,21-09-2015,citrus fruit,1.70
2212,27-08-2015,hamburger meat,2.11
1507,22-06-2015,chicken,3.67
2870,21-01-2015,chicken,3.67
3429,26-04-2015,frankfurter,2.00
4148,09-04-2015,canned beer,2.50
2970,30-12-2015,turkey,3.42
2013,30-08-2015,packaged fruit/vegetables,4.24
3967,30-05-2015,pasta,3.12
2885,15-05-2015,citrus fruit,1.70
3935,02-07-2015,sausage,2.75
3283,01-05-2015,whole milk,1.20
3268,06-11-2015,canned beer,2.50
3677,30-04-2015,citrus fruit,1.70
3495,27-06-2015,liquor (appetizer),4.54
1410,04-10-2015,citrus fruit,1.70
2440,06-06-2015,sausage,2.75
4088,13-01-2015,chicken,3.67
2469,23-09-2015,hamburger meat,2.11
4229,06-03-2015,sausage,2.75
2728,02-08-2015,beef,4.50
4694,25-01-2015,citrus fruit,1.70
2836,29-12-2015,UHT-milk,2.50
1311,12-02-2015,candy,1.94
1760,23-01-2015,newspapers,4.71
3656,02-03-2015,beef,4.50
3720,28-05-2015,sausage,2.75
2996,26-09-2015,frankfurter,2.00
1949,22-07-2015,canned beer,2.50
4498,11-02-2015,bottled beer,3.07
2447,28-12-2015,onions,1.84
1952,23-03-2015,tropical fruit,1.50
4099,27-01-2015,bottled water,3.73
1804,12-03-2015,beef,4.50
1510,16-05-2015,sausage,2.75
2879,18-04-2015,hair spray,1.15
4899,12-03-2015,chicken,3.67
4326,29-09-2015,pork,1.35
1670,17-05-2015,ice cream,4.55
1117,24-05-2015,meat,5.16
1346,03-04-2015,other vegetables,2.50
1178,15-11-2015,bottled water,3.73
1649,25-06-2015,tropical fruit,1.50
4651,21-06-2015,photo/film,4.32
4243,02-04-2015,sausage,2.75
4429,21-07-2015,grapes,4.50
4645,25-07-2015,domestic eggs,1.40
4019,24-07-2015,rolls/buns,1.00
4459,26-04-2015,tropical fruit,1.50
3006,27-12-2015,chicken,3.67
1834,17-09-2015,frankfurter,2.00
3236,04-07-2015,berries,2.94
1765,11-03-2015,margarine,1.30
3855,09-03-2015,tropical fruit,1.50
4392,28-11-2015,ham,2.59
3330,26-07-2015,hamburger meat,2.11
1723,02-09-2015,yogurt,1.80
4110,30-03-2015,soda,1.99
2600,28-01-2015,yogurt,1.80
2946,07-10-2015,soda,1.99
2426,08-09-2015,bottled water,3.73
4170,03-05-2015,sausage,2.75
1109,06-04-2015,citrus fruit,1.70
3429,04-01-2015,shopping bags,0.50
2055,04-02-2015,newspapers,4.71
2480,20-09-2015,frankfurter,2.00
2441,30-05-2015,sausage,2.75
1054,04-10-2015,frankfurter,2.00
4818,11-01-2015,salt,2.98
3379,21-01-2015,oil,3.38
3939,10-02-2015,curd,1.24
1367,05-08-2015,other vegetables,2.50
1043,10-01-2015,citrus fruit,1.70
2231,17-10-2015,frankfurter,2.00
3235,28-12-2015,root vegetables,2.20
4554,16-07-2015,tropical fruit,1.50
3245,24-01-2015,beef,4.50
2996,19-05-2015,berries,2.94
2507,05-01-2015,canned beer,2.50
4186,25-10-2015,whipped/sour cream,1.49
3929,28-04-2015,root vegetables,2.20
3760,22-11-2015,whole milk,1.20
4928,18-08-2015,beef,4.50
4217,18-12-2015,frozen vegetables,3.90
1174,11-02-2015,rolls/buns,1.00
4103,19-06-2015,whole milk,1.20
4408,13-03-2015,whole milk,1.20
2588,28-12-2015,citrus fruit,1.70
2598,11-11-2015,pastry,4.81
1518,11-12-2015,frankfurter,2.00
2702,08-04-2015,tropical fruit,1.50
1001,20-01-2015,frankfurter,2.00
2270,30-09-2015,berries,2.94
2838,10-11-2015,rolls/buns,1.00
1683,26-05-2015,root vegetables,2.20
4040,03-04-2015,yogurt,1.80
3897,23-08-2015,other vegetables,2.50
2200,11-03-2015,berries,2.94
4073,29-01-2015,berries,2.94
3700,19-04-2015,other vegetables,2.50
3973,10-06-2015,rolls/buns,1.00
2715,06-07-2015,ham,2.59
3967,23-11-2015,whole milk,1.20
4002,03-09-2015,tropical fruit,1.50
2962,01-03-2015,bottled water,3.73
4340,25-12-2015,butter milk,2.66
2092,06-11-2015,newspapers,4.71
3143,24-05-2015,coffee,1.62
2209,03-10-2015,bottled beer,3.07
2816,22-08-2015,onions,1.84
2659,01-06-2015,hamburger meat,2.11
1588,13-10-2015,sausage,2.75
1144,15-10-2015,hard cheese,3.71
2166,10-12-2015,sausage,2.75
3300,06-10-2015,hamburger meat,2.11
3944,03-01-2015,onions,1.84
4979,24-04-2015,coffee,1.62
2630,21-01-2015,shopping bags,0.50
4240,29-04-2015,yogurt,1.80
2357,08-07-2015,soda,1.99
1743,18-04-2015,sliced cheese,3.69
2331,15-02-2015,sausage,2.75
1643,28-04-2015,yogurt,1.80
1291,20-03-2015,domestic eggs,1.40
3675,04-07-2015,whole milk,1.20
4134,06-11-2015,meat,5.16
1363,21-06-2015,dish cleaner,1.54
4212,01-05-2015,other vegetables,2.50
1500,21-03-2015,whole milk,1.20
2622,01-10-2015,other vegetables,2.50
3543,18-03-2015,tropical fruit,1.50
2525,24-05-2015,baking powder,3.32
1264,12-10-2015,specialty bar,3.47
3601,06-07-2015,ice cream,4.55
1771,23-03-2015,frankfurter,2.00
4694,06-02-2015,canned beer,2.50
1122,21-12-2015,bottled water,3.73
3507,12-08-2015,other vegetables,2.50
4524,26-04-2015,citrus fruit,1.70
3612,27-09-2015,sausage,2.75
3262,11-06-2015,domestic eggs,1.40
1897,25-01-2015,pork,1.35
1656,30-10-2015,specialty cheese,1.44
3953,10-01-2015,pork,1.35
1488,21-06-2015,beef,4.50
1652,17-03-2015,other vegetables,2.50
4953,16-09-2015,chicken,3.67
3445,30-04-2015,soda,1.99
3180,15-03-2015,whole milk,1.20
4934,06-09-2015,rolls/buns,1.00
2980,27-04-2015,bottled beer,3.07
2763,13-02-2015,root vegetables,2.20
4819,04-03-2015,pastry,4.81
3169,02-07-2015,berries,2.94
1850,11-03-2015,citrus fruit,1.70
4285,29-12-2015,whole milk,1.20
4366,13-08-2015,soda,1.99
2253,16-06-2015,bottled water,3.73
3398,11-03-2015,tropical fruit,1.50
2215,22-07-2015,salty snack,1.80
3737,03-03-2015,bottled water,3.73
2649,28-11-2015,chocolate,1.80
3203,07-08-2015,citrus fruit,1.70
4261,16-02-2015,bottled water,3.73
2435,17-07-2015,onions,1.84
2046,21-08-2015,dessert,3.96
4267,11-02-2015,beef,4.50
1086,28-12-2015,rolls/buns,1.00
1992,04-01-2015,beef,4.50
3622,26-07-2015,soda,1.99
4700,27-06-2015,coffee,1.62
2272,16-05-2015,rolls/buns,1.00
1663,19-05-2015,pork,1.35
2519,03-06-2015,soda,1.99
2639,30-10-2015,sausage,2.75
1466,19-04-2015,beef,4.50
4122,23-10-2015,whole milk,1.20
3598,15-04-2015,pork,1.35
3097,10-08-2015,berries,2.94
1873,19-09-2015,sausage,2.75
1537,01-02-2015,bottled water,3.73
3960,25-03-2015,tropical fruit,1.50
1136,15-06-2015,herbs,1.29
2453,21-12-2015,yogurt,1.80
1746,15-02-2015,Instant food products,2.45
3572,09-06-2015,specialty chocolate,4.80
3246,24-06-2015,coffee,1.62
3207,26-11-2015,bottled beer,3.07
1042,12-02-2015,beef,4.50
1176,30-03-2015,whole milk,1.20
3054,23-02-2015,frankfurter,2.00
4486,02-12-2015,frankfurter,2.00
1580,05-12-2015,other vegetables,2.50
1623,02-11-2015,frankfurter,2.00
4169,24-11-2015,whole milk,1.20
2254,24-01-2015,frankfurter,2.00
4095,01-11-2015,other vegetables,2.50
1264,17-11-2015,bottled water,3.73
3375,06-01-2015,pork,1.35
3242,23-05-2015,bottled water,3.73
2227,07-06-2015,other vegetables,2.50
3847,03-12-2015,hamburger meat,2.11
3897,31-05-2015,hamburger meat,2.11
1799,27-09-2015,shopping bags,0.50
2920,26-04-2015,whole milk,1.20
3713,31-01-2015,ice cream,4.55
4230,05-11-2015,pastry,4.81
1455,18-03-2015,ham,2.59
3687,18-03-2015,frankfurter,2.00
3869,01-08-2015,sausage,2.75
2988,14-10-2015,bottled beer,3.07
4242,30-03-2015,bottled water,3.73
4118,24-12-2015,meat,5.16
4996,24-10-2015,dessert,3.96
4489,04-03-2015,other vegetables,2.50
1199,09-11-2015,beverages,3.40
4108,12-05-2015,ham,2.59
3484,05-06-2015,specialty bar,3.47
1239,31-08-2015,brown bread,2.45
4839,19-12-2015,whole milk,1.20
4748,07-05-2015,rolls/buns,1.00
4426,06-06-2015,bottled beer,3.07
3571,11-12-2015,pet care,4.03
2852,08-06-2015,citrus fruit,1.70
3638,26-05-2015,pork,1.35
3635,10-03-2015,other vegetables,2.50
2723,07-05-2015,white wine,3.33
3495,11-03-2015,whole milk,1.20
2813,16-11-2015,pip fruit,1.80
2799,02-09-2015,sugar,1.95
4723,22-05-2015,tropical fruit,1.50
3313,08-04-2015,root vegetables,2.20
4748,15-12-2015,soda,1.99
2991,16-02-2015,whole milk,1.20
1483,01-04-2015,tropical fruit,1.50
3950,01-10-2015,white bread,1.90
1634,16-01-2015,brown bread,2.45
2694,21-11-2015,tropical fruit,1.50
2707,18-10-2015,domestic eggs,1.40
2813,16-07-2015,coffee,1.62
2276,11-01-2015,soda,1.99
4726,06-02-2015,whole milk,1.20
4353,25-05-2015,bottled beer,3.07
4017,13-08-2015,pork,1.35
1422,21-08-2015,other vegetables,2.50
2714,15-03-2015,yogurt,1.80
2769,21-07-2015,sparkling wine,3.20
4166,30-04-2015,bottled water,3.73
3614,02-03-2015,citrus fruit,1.70
4361,05-09-2015,hamburger meat,2.11
1922,22-09-2015,packaged fruit/vegetables,4.24
4728,06-09-2015,other vegetables,2.50
3646,08-08-2015,soda,1.99
1155,10-08-2015,whole milk,1.20
2119,11-06-2015,herbs,1.29
1602,29-08-2015,citrus fruit,1.70
1074,24-06-2015,misc. beverages,3.47
2256,11-04-2015,female sanitary products,4.41
1348,17-09-2015,soda,1.99
3806,28-08-2015,tropical fruit,1.50
1711,06-06-2015,soda,1.99
3959,12-04-2015,white bread,1.90
1590,15-08-2015,coffee,1.62
1962,08-06-2015,tropical fruit,1.50
1766,21-01-2015,pork,1.35
2551,21-10-2015,citrus fruit,1.70
2294,23-09-2015,frankfurter,2.00
4531,29-05-2015,frankfurter,2.00
2957,12-04-2015,frankfurter,2.00
4415,27-01-2015,other vegetables,2.50
1476,26-08-2015,yogurt,1.80
3978,23-07-2015,sausage,2.75
2062,22-09-2015,whole milk,1.20
3252,28-06-2015,pip fruit,1.80
3922,24-06-2015,whole milk,1.20
1491,17-10-2015,root vegetables,2.20
3526,26-08-2015,onions,1.84
4060,11-12-2015,specialty chocolate,4.80
1067,08-04-2015,hamburger meat,2.11
2840,27-01-2015,photo/film,4.32
4484,27-11-2015,rolls/buns,1.00
2353,07-02-2015,canned beer,2.50
3130,18-02-2015,canned beer,2.50
4273,14-06-2015,other vegetables,2.50
4565,30-12-2015,canned beer,2.50
2504,14-08-2015,curd,1.24
4127,23-10-2015,butter,1.88
2690,01-04-2015,other vegetables,2.50
4129,22-09-2015,whole milk,1.20
4511,29-06-2015,beef,4.50
1602,04-08-2015,sausage,2.75
4369,01-02-2015,soda,1.99
1302,29-09-2015,fruit/vegetable juice,2.00
3326,30-04-2015,rolls/buns,1.00
2066,21-05-2015,pip fruit,1.80
3483,15-01-2015,frozen vegetables,3.90
2840,12-02-2015,beverages,3.40
1807,18-05-2015,hamburger meat,2.11
2067,12-08-2015,root vegetables,2.20
3783,17-02-2015,canned beer,2.50
2884,04-01-2015,frozen vegetables,3.90
2908,15-03-2015,canned beer,2.50
1330,10-07-2015,newspapers,4.71
2293,08-05-2015,rolls/buns,1.00
3718,20-05-2015,hamburger meat,2.11
4338,25-01-2015,pip fruit,1.80
3486,08-11-2015,canned beer,2.50
3635,04-09-2015,grapes,4.50
2857,18-02-2015,root vegetables,2.20
3684,13-08-2015,citrus fruit,1.70
3120,20-10-2015,cling film/bags,4.81
3872,19-03-2015,frankfurter,2.00
2777,07-04-2015,whole milk,1.20
2702,27-05-2015,pork,1.35
4796,29-06-2015,chicken,3.67
1564,23-10-2015,sausage,2.75
2740,02-07-2015,specialty bar,3.47
1833,13-04-2015,whipped/sour cream,1.49
1757,23-12-2015,root vegetables,2.20
2975,24-10-2015,rolls/buns,1.00
4032,10-08-2015,other vegetables,2.50
3979,16-09-2015,citrus fruit,1.70
3772,09-03-2015,whole milk,1.20
4523,28-10-2015,frankfurter,2.00
4004,19-04-2015,coffee,1.62
2936,08-06-2015,ham,2.59
2394,21-06-2015,canned beer,2.50
4616,16-08-2015,canned beer,2.50
2362,08-07-2015,canned beer,2.50
3593,03-11-2015,pip fruit,1.80
4389,27-08-2015,pork,1.35
3206,11-08-2015,soap,4.76
4601,04-01-2015,pip fruit,1.80
4382,13-11-2015,beef,4.50
2718,08-06-2015,sausage,2.75
4691,12-10-2015,frozen chicken,1.69
3735,28-11-2015,soda,1.99
3900,20-12-2015,tropical fruit,1.50
4959,30-06-2015,other vegetables,2.50
1815,30-08-2015,beef,4.50
2454,08-04-2015,meat,5.16
4778,15-01-2015,meat,5.16
2289,04-11-2015,bottled water,3.73
1734,13-07-2015,rolls/buns,1.00
4019,05-02-2015,pastry,4.81
4605,28-05-2015,pork,1.35
4864,14-11-2015,pip fruit,1.80
4205,22-02-2015,beef,4.50
1862,03-08-2015,beef,4.50
1846,19-07-2015,rolls/buns,1.00
2019,28-05-2015,citrus fruit,1.70
2042,19-11-2015,meat,5.16
1768,26-05-2015,beverages,3.40
3847,26-03-2015,beef,4.50
3557,20-07-2015,ham,2.59
3975,27-02-2015,hamburger meat,2.11
4198,18-03-2015,beef,4.50
2580,04-09-2015,beef,4.50
3474,25-08-2015,root vegetables,2.20
1678,14-11-2015,citrus fruit,1.70
4254,14-08-2015,yogurt,1.80
4704,21-08-2015,tropical fruit,1.50
3343,10-05-2015,frankfurter,2.00
3812,24-06-2015,beef,4.50
3093,13-03-2015,shopping bags,0.50
2170,18-06-2015,canned beer,2.50
4867,29-10-2015,rolls/buns,1.00
3899,23-03-2015,other vegetables,2.50
2941,03-10-2015,hamburger meat,2.11
1958,03-07-2015,hamburger meat,2.11
2760,08-08-2015,frankfurter,2.00
4413,03-08-2015,bottled beer,3.07
1737,15-05-2015,tropical fruit,1.50
4202,18-02-2015,soda,1.99
1065,13-11-2015,frankfurter,2.00
3819,28-06-2015,chicken,3.67
2854,08-02-2015,coffee,1.62
4387,16-09-2015,whole milk,1.20
4530,12-04-2015,margarine,1.30
4191,03-11-2015,tropical fruit,1.50
3102,04-12-2015,meat,5.16
1946,25-01-2015,cream cheese,1.70 
2156,15-05-2015,newspapers,4.71
1444,16-12-2015,rolls/buns,1.00
1699,14-05-2015,citrus fruit,1.70
4954,04-05-2015,whole milk,1.20
2207,08-04-2015,frankfurter,2.00
4826,28-01-2015,ham,2.59
2374,08-06-2015,frankfurter,2.00
1604,18-08-2015,sausage,2.75
4437,29-11-2015,domestic eggs,1.40
2319,10-05-2015,whole milk,1.20
3018,27-06-2015,rolls/buns,1.00
1195,28-09-2015,whole milk,1.20
1768,04-09-2015,sausage,2.75
3017,28-09-2015,curd,1.24
3384,29-11-2015,bottled water,3.73
1918,30-01-2015,beef,4.50
2524,17-10-2015,frankfurter,2.00
2798,17-06-2015,chicken,3.67
2096,25-01-2015,sausage,2.75
1489,13-03-2015,pork,1.35
1431,20-07-2015,yogurt,1.80
2747,05-07-2015,whole milk,1.20
3054,22-03-2015,frankfurter,2.00
2691,09-10-2015,beef,4.50
1752,19-04-2015,pip fruit,1.80
3027,15-09-2015,sausage,2.75
4452,17-06-2015,pastry,4.81
4129,13-08-2015,chicken,3.67
3523,09-11-2015,root vegetables,2.20
2128,11-02-2015,whole milk,1.20
4867,03-02-2015,detergent,4.13
4762,30-10-2015,rolls/buns,1.00
1632,29-05-2015,house keeping products,2.32
4018,17-11-2015,yogurt,1.80
1722,13-07-2015,tropical fruit,1.50
1438,19-10-2015,tropical fruit,1.50
3958,27-10-2015,curd,1.24
3292,13-09-2015,beef,4.50
2861,23-02-2015,whole milk,1.20
1757,24-02-2015,pork,1.35
1509,30-12-2015,other vegetables,2.50
2364,11-05-2015,rolls/buns,1.00
3084,26-10-2015,frankfurter,2.00
1850,17-02-2015,yogurt,1.80
1949,17-03-2015,whole milk,1.20
4740,02-10-2015,bottled water,3.73
1072,23-10-2015,frankfurter,2.00
4196,09-07-2015,rolls/buns,1.00
4814,13-09-2015,whole milk,1.20
1514,28-02-2015,rolls/buns,1.00
4584,25-10-2015,chicken,3.67
2751,03-02-2015,tropical fruit,1.50
4155,24-09-2015,sausage,2.75
4670,11-10-2015,sausage,2.75
4566,27-07-2015,frankfurter,2.00
2371,30-08-2015,UHT-milk,2.50
3442,14-11-2015,rolls/buns,1.00
3090,27-09-2015,canned beer,2.50
1457,09-01-2015,yogurt,1.80
4952,08-04-2015,whipped/sour cream,1.49
3165,11-01-2015,rolls/buns,1.00
2608,19-09-2015,rolls/buns,1.00
2040,07-10-2015,beverages,3.40
1327,09-08-2015,rolls/buns,1.00
3363,07-01-2015,rolls/buns,1.00
1731,09-09-2015,bottled beer,3.07
2760,02-08-2015,citrus fruit,1.70
3120,14-01-2015,bottled water,3.73
1332,30-04-2015,pastry,4.81
4530,12-09-2015,domestic eggs,1.40
